sale_begin,sale_no,is_input
1760/02/27,A1235,no
1760/03/05,A1236,no
1760/03/12,A1237,yes
1760/03/19,A1238,no
1760/04/23,A1239,no
1760/04/30,A1240,no
1760/06/05,A1241,yes
1760/11/03,A1242,no
1760/12/03,A1243,yes
1760/12/20,A1244,no
1760/12/20,A1243a,no
1760/12/20,A1244a,no
1760/12/20,A1244b,no
1760/12/22,A1245,yes
1761/01/21,A1300,no
1761/01/24,A1301,yes
1761/02/20,A1302,no
1761/02/25,A1303,no
1761/02/26,A1304,no
1761/02/27,A1305,yes
1761/03/02,A1306,no
1761/03/05,A1307,no
1761/03/12,A1308,yes
1761/03/18,A1309,yes
1761/03/18,A1310,yes
1761/04/02,A1311,no
1761/04/03,A1312,no
1761/04/16,A1313,no
1761/04/26,A1314,no
1761/04/30,A1315,no
1761/06/19,A1317,no
1761/07/08,A1316,no
1761/09/15,A1318,no
1761/09/30,A1319,no
1761/12/10,A1320,no
1762/00/21,A1321,no
1762/01/15,A1322,yes
1762/01/29,A1323,no
1762/02/03,A1324,no
1762/02/10,A1325,no
1762/02/11,A1326,no
1762/02/18,A1327,yes
1762/02/24,A1328,no
1762/03/03,A1329,yes
1762/03/05,A1330,yes
1762/03/23,A1331,yes
1762/03/26,A1332,no
1762/03/30,A1333,no
1762/04/02,A1334,yes
1762/04/05,A1335,no
1762/04/21,A1336,no
1762/04/28,A1337,no
1762/04/30,A1338,yes
1762/05/12,A1339,no
1762/05/12,A1340,no
1762/05/14,A1341,no
1762/05/21,A1342,no
1762/06/12,A1343,no
1762/12/08,A1344,no
1762/12/21,A1345,no
1763/00/00,A1346,no
1763/01/05,A1347,no
1763/02/10,A1348,no
1763/02/23,A1349,no
1763/02/24,A1350,no
1763/03/03,A1351,yes
1763/03/07,A1352,no
1763/03/09,A1353,no
1763/03/15,A1354,no
1763/03/21,A1355,no
1763/04/12,A1356,no
1763/04/15,A1357,no
1763/05/06,A1358,no
1763/05/09,A1359,no
1763/05/11,A1360,no
1763/11/16,A1361,no
1763/12/03,A1362,no
1763/12/15,A1363,yes
1764/00/10,A1364,no
1764/01/05,A1365,no
1764/01/09,A1366,no
1764/01/21,A1367,no
1764/01/25,A1368,no
1764/02/02,A1369,no
1764/02/09,A1370,no
1764/02/15,A1371,no
1764/02/23,A1372,no
1764/03/01,A1373,no
1764/03/07,A1374,no
1764/03/09,A1375,no
1764/03/12,A1376,no
1764/03/13,A1377,no
1764/03/21,A1378,no
1764/03/24,A1379,no
1764/04/03,A1380,no
1764/04/06,A1381,no
1764/04/17,A1382,no
1764/04/18,A1383,no
1764/04/19,A1384,no
1764/05/09,A1385,no
1764/05/09,A1386,no
1764/05/10,A1387,no
1764/10/19,A1388,no
1764/10/31,A1389,no
1764/12/21,A1390,no
1765/01/15,A1391,no
1765/01/24,A1392,no
1765/02/01,A1393,no
1765/02/06,A1394,no
